PAIS,MEDIA_MASCULINA,MEDIA_FEMININA
Alpes Dináricos,185.6,"170,7"
Alemanha,179.0,166
Alemanha,181.0,168
Argélia ,170.0,"159,2"
Argentina ,173.8,"161,1"
Argentina,174.3,"161,5"
Argentina ,174.3,"161,1"
Austrália,177.8,"163,8"
Áustria,179.6,"167,1"
Bangladesh ,162.7,"150,9"
Barém,165.1,"154,2"
Bélgica,179.5,"166,3"
Bolivia ,166.6,"155,4"
Brasil ,170.8,158
Brasil,173.9,160
Camarões,170.6,"161,3"
Canadá,174,161
Coreia do Norte,166,"154,1"
Coreia do Sul,174.1,0
Coreia do Sul ,173.54,"160,37"
Chile,171.2,"157,2"
Colômbia,172,158
Colômbia ,172.3,"159,4"
China ,172.4,"160,2"
China,173.4,"161,2"
China,172.7,"160,6"
Cuba ,170.2,158
Cuba ,168,155
Dinamarca,180.3,0
Equador ,166,"153,4"
Espanha,175.62,"162,48"
Espanha,175.2,"162,3"
Estados Unidos,175.3,"161,3"
Estados Unidos,178,"164,5"
Estados Unidos,171.2,"158,7"
Estados Unidos,176.4,"163,4"
Estados Unidos ,172.9,158
Estônia,181.28,"168,23"
Etiópia ,170.34,0
Filipinas,163.5,"151,8"
Finlândia,178.2,"164,7"
França,174.1,"161,9"
França,177,"164,6"
Gana,170.79,"161,19"
Grécia,178.06,0
Iraque,165.5,"155,8"
Irão,174.2,"159,5"
Islândia,181.7,"167,6"
Israel,175.6,"162,8"
Itália,176.9,"163,2"
Itália ,174.2,"160,8"
Índia,165.2,152
Indonésia,167.45,"155,4"
Jamaica,171.8,"160,8"
Japão,171.47,158.20 
Lituânia,181.3,"167,5"
Malawi,166,155
Malta,175.2,"163,8"
México,167,155
Mongólia,168.4,"157,7"
Nigéria,167,159
Nova Zelândia,177,165
Noruega,179.5,0
Países Baixos,183.8,"170,7"
Paquistão ,174.01,0
Peru,164,151
Peru ,166.55,"155,44"
Portugal,173.9,0
Portugal ,175.1,"162,5"
Portugal,172.9,0
Portugal ,173.7,"163,7"
Polônia,178.7,"165,1"
Porto Rico ,170.98,0
Porto Rico ,171.41,"158,29"
Reino Unido,177.8,"163,3"
República Checa,180.3,"167,3"
Rússia,176,164
Singapura,170.6,160
Suécia,180.2,167
Suíça,178.1,0
Taiwan,172.78,"160,32"
Tailândia,167.1,"156,6"
Turquia,174,"158,9"
Vietnã,165.76,"155,22"
